Group,Customer_Segment,Sales_Before,Sales_After,Customer_Satisfaction_Before,Customer_Satisfaction_After,Purchase_Made,Sales_Change,Satisfaction_Change,Purchase_Made_Numeric
unknown,high value,226.6438578746983,355.98445877614364,79.27226735930505,73.87259310735006,no,129.34060090144533,-5.399674251954991,0
control,medium value,177.4821281977439,211.29715345658323,69.5147959,71.92052708,no,33.81502525883934,2.4057311800000036,0
treatment,high value,109.26682181557986,280.45795220654577,99.23269996,100.0,yes,171.1911303909659,0.767300039999995,1
unknown,medium value,203.84622026439388,243.7668889196661,39.33142354554956,73.87259310735006,yes,39.92066865527221,34.541169561800494,1
unknown,medium value,236.350638907034,278.0196705945648,70.28976369379372,73.61401738447641,yes,41.669031687530776,3.3242536906826956,1
control,unknown,203.71699822858852,177.55423718004795,70.25207641696215,83.77448967190342,no,-26.162761048540574,13.52241325494127,0
control,unknown,228.00301061787013,280.45795220654577,92.36207576,97.45070766,yes,52.45494158867564,5.08863190000001,1
control,unknown,145.79843046677243,280.45795220654577,68.48512943366842,62.93528171517984,yes,134.65952173977334,-5.549847718488579,1
unknown,medium value,169.77587981968645,255.35526684846096,79.39828892769745,100.0,yes,85.5793870287745,20.60171107230255,1
treatment,low value,201.25688279349623,297.58834328219245,70.25207641696215,76.0,no,96.33146048869622,5.747923583037846,0
treatment,medium value,233.9696098676108,366.8286060317677,67.70828315395103,78.12757290654804,yes,132.8589961641569,10.41928975259701,1
treatment,unknown,236.59590321255428,377.3724478859154,62.02675645464887,40.83754741450724,no,140.77654467336112,-21.189209040141627,0
treatment,unknown,189.73368579006944,304.50564654293925,55.38874554351872,62.803462297539454,no,114.7719607528698,7.414716754020731,0
control,low value,242.91874795191544,296.4995523,50.37416819400255,73.87259310735006,no,53.58080434808457,23.498424913347506,0
treatment,high value,189.29619107042203,293.1901572789537,86.76226901400382,100.0,yes,103.89396620853165,13.23773098599618,1
treatment,unknown,172.71326744224285,273.78660871897773,70.25207641696215,73.87259310735006,yes,101.07334127673488,3.620516690387902,1
control,high value,80.10698641,91.62472506180588,87.64806924930599,73.87259310735006,yes,11.517738651805871,-13.775476141955934,1
treatment,high value,213.82987530644004,327.93008138400563,81.47563847427371,92.56125036,no,114.10020607756559,11.085611885726294,0
control,unknown,203.9345757337328,245.7546974203021,70.25207641696215,64.12566701,yes,41.82012168656931,-6.1264094069621535,1
treatment,high value,240.1381373460719,376.4099446511353,40.974332111291474,34.95949367798411,no,136.2718073050634,-6.014838433307361,0
unknown,medium value,174.9501536477589,206.48380808350555,70.52375772226105,73.87259310735006,no,31.533654435746655,3.3488353850890036,0
treatment,unknown,223.10977283251847,349.1185062874287,46.70961392947484,34.234825173233375,yes,126.00873345491024,-12.474788756241466,1
treatment,medium value,193.18495579477457,310.19929371686385,76.52557802557959,79.21906066959345,yes,117.01433792208928,2.693482644013855,1
control,medium value,237.85569656507028,279.7706518997201,71.98760622155537,60.493966638846025,no,41.91495533464985,-11.493639582709342,0
control,low value,204.3447983237008,280.45795220654577,43.05136036722543,38.86874794573082,no,76.11315388284498,-4.1826124214946105,0
control,medium value,203.71699822858852,243.7668889196661,68.30290404624391,73.87259310735006,yes,40.049890691077564,5.569689061106146,1
unknown,low value,194.14143911317265,223.48383157077896,55.25968880174097,56.395275956971616,no,29.34239245760631,1.1355871552306454,0
unknown,medium value,230.72199044990543,278.4939762260257,90.22964869766012,73.87259310735006,yes,47.77198577612029,-16.35705559031007,1
control,low value,172.6411685732325,206.60242866331072,57.27935910520695,70.71121373921534,no,33.96126009007821,13.431854634008388,0
control,unknown,187.09480943878944,225.0310790806274,70.25207641696215,86.77075782988264,yes,37.93626964183795,16.518681412920486,1
unknown,medium value,203.71699822858852,276.1127970870479,70.25207641696215,76.75085454184862,no,72.39579885845939,6.498778124886471,0
unknown,low value,254.80278710713048,280.45795220654577,49.8811787375606,54.745266342741935,unknown,25.655165099415285,4.864087605181332,0
treatment,unknown,170.0908019564475,269.2614163,68.23452809625607,76.60069052670516,no,99.1706143435525,8.366162430449094,0
control,medium value,193.8522597570081,235.24420735400244,70.25207641696215,100.0,yes,41.39194759699433,29.747923583037846,1
treatment,medium value,204.4142284399109,329.58828330419203,63.89043879897751,70.36518793411983,no,125.17405486428115,6.474749135142318,0
treatment,low value,203.71699822858852,332.3742014982016,51.439854,71.69786548,yes,128.6572032696131,20.258011480000008,1
treatment,high value,242.4301350605648,379.38913334192415,68.74292966697837,75.71080432470482,no,136.95899828135936,6.967874657726455,0
treatment,high value,280.11381479273393,445.8580020169799,70.25207641696215,73.93880145467571,no,165.744187224246,3.6867250377135576,0
control,high value,329.8606829034405,393.67290836024006,70.24902619495936,88.77209225448352,yes,63.81222545679958,18.52306605952417,1
treatment,low value,159.49871945271897,280.45795220654577,49.39160962064821,73.87259310735006,no,120.9592327538268,24.480983486701845,0
control,high value,203.71699822858852,297.43026096172525,70.25207641696215,94.1691481239588,no,93.71326273313673,23.91707170699665,0
unknown,low value,199.38343546074964,309.07614081599064,70.25207641696215,73.87259310735006,no,109.692705355241,3.620516690387902,0
treatment,medium value,202.81692687809212,319.25173212952336,70.25207641696215,87.33936835363953,no,116.43480525143124,17.087291936677374,0
treatment,medium value,230.2657074675199,361.6433033,70.25207641696215,73.87259310735006,yes,131.37759583248013,3.620516690387902,1
control,high value,207.4444234,249.65678666177809,70.25207641696215,78.97114632098909,no,42.21236326177808,8.719069904026938,0
treatment,low value,186.96916518147447,304.25051303507985,70.25207641696215,73.87259310735006,yes,117.28134785360538,3.620516690387902,1
control,medium value,135.14825766485302,161.12125635738306,71.23891843,73.87259310735006,yes,25.97299869253004,2.633674677350058,1
treatment,low value,158.72659422180826,259.98678414227686,59.857212195507714,75.04613478926734,yes,101.2601899204686,15.188922593759628,1
control,low value,235.151248656503,275.96398455865443,53.838076583072166,50.53983280652889,yes,40.812735902151445,-3.2982437765432735,1
treatment,medium value,249.43661177410203,388.3369746047837,70.25207641696215,79.66908695651526,no,138.90036283068164,9.417010539553104,0
control,low value,189.4750359499581,225.7613841181884,69.93064953546359,76.0,yes,36.28634816823029,6.069350464536413,1
control,medium value,203.71699822858852,216.17399505044813,55.92144718,59.89879898078164,no,12.456996821859605,3.9773518007816406,0
treatment,unknown,203.71699822858852,374.760679349396,54.46811690937271,73.87259310735006,yes,171.0436811208075,19.404476197977345,1
control,medium value,265.0995500037757,320.1342860688381,64.61195627,73.87259310735006,yes,55.03473606506242,9.260636837350063,1
treatment,unknown,160.56077266486776,256.7264117735439,58.54494452647196,73.87259310735006,yes,96.16563910867612,15.327648580878098,1
unknown,medium value,131.48052787111217,202.06389410998705,75.99044608,73.03348242837724,yes,70.58336623887487,-2.9569636516227575,1
treatment,low value,202.1712460648036,310.52976330741427,61.05205377170066,56.76579781556733,no,108.35851724261067,-4.286255956133331,0
treatment,medium value,252.2249447085389,388.1278624078349,70.25207641696215,61.65659973284048,yes,135.902917699296,-8.595476684121671,1
treatment,medium value,227.6106187322048,358.5653166044325,50.97302497054243,57.58935169537693,no,130.95469787222768,6.616326724834501,0
treatment,high value,306.21071648603976,463.2741823076876,82.05345673284043,70.83106903,yes,157.06346582164787,-11.222387702840436,1
treatment,high value,306.11056932567897,465.5451552616405,70.25207641696215,97.29332152562894,yes,159.43458593596154,27.041245108666786,1
treatment,high value,197.15452056767944,307.78111505975056,91.79068417616044,87.87154083,yes,110.62659449207112,-3.919143346160439,1
unknown,low value,191.90830867592632,303.14856542862583,62.07250216986202,73.87259310735006,yes,111.24025675269951,11.800090937488037,1
treatment,unknown,160.46925103593412,251.88053119682004,49.31684561602064,47.26441369874704,yes,91.41128016088592,-2.0524319172736014,1
treatment,unknown,150.76709159012182,239.5131756116872,78.53509915297364,100.0,no,88.74608402156537,21.464900847026357,0
control,medium value,152.52354561634357,176.23111822894197,70.25207641696215,73.87259310735006,yes,23.707572612598398,3.620516690387902,1
control,medium value,230.6858975658136,265.71879577364706,76.37909996676464,79.15259284976347,no,35.032898207833455,2.7734928829988235,0
treatment,medium value,203.71699822858852,341.87195530101326,75.94589281552263,92.84789984371396,yes,138.15495707242474,16.902007028191335,1
treatment,low value,203.71699822858852,280.45795220654577,66.50122013060285,51.28299744465096,yes,76.74095397795725,-15.218222685951886,1
treatment,unknown,324.5249587701134,509.8624151458708,57.30177397441525,68.42506975424197,no,185.33745637575737,11.123295779826726,0
unknown,medium value,203.71699822858852,337.69253977676874,84.49841412929993,91.19405697,yes,133.97554154818022,6.695642840700074,1
treatment,high value,203.71699822858852,287.8134633,93.41854482060914,73.92144865,yes,84.0964650714115,-19.49709617060914,1
treatment,medium value,263.1431143279257,409.97077881343097,71.44030034656885,72.24065480787068,yes,146.8276644855053,0.8003544613018363,1
treatment,medium value,162.5573431467091,261.36898838703297,69.89900239441975,82.96803380302984,no,98.81164524032388,13.069031408610087,0
treatment,unknown,290.7317002625238,459.33297908823977,71.56058127300473,79.33711623317397,no,168.60127882571595,7.7765349601692435,0
control,low value,92.79724429016778,109.08187677223847,53.31087547884505,73.87259310735006,no,16.28463248207069,20.561717628505008,0
treatment,unknown,181.70724310669883,278.0682759178205,66.17145716927698,61.77044572384455,yes,96.36103281112165,-4.401011445432424,1
control,medium value,233.0635881444844,281.1982445757548,72.57037971949434,89.10679226693156,yes,48.1346564312704,16.536412547437223,1
treatment,medium value,203.71699822858852,403.05320561737074,70.25207641696215,68.76589256536491,yes,199.3362073887822,-1.4861838515972465,1
unknown,high value,198.59641751754447,280.4496871,78.54906779692551,68.38842234,unknown,81.85326958245554,-10.160645456925508,0
control,unknown,158.2742140188722,187.7773205214316,70.99898661516393,98.1458976950058,unknown,29.503106502559405,27.14691107984187,0
treatment,low value,189.9751683560368,289.6766784898028,61.58866173145128,72.27446841364849,no,99.70151013376599,10.68580668219721,0
control,medium value,203.71699822858852,353.23023826079424,64.72796440210729,88.56011692,yes,149.51324003220572,23.83215251789271,1
treatment,unknown,107.5167867260235,169.3448132983061,44.03411012296303,47.42791735391363,no,61.828026572282596,3.3938072309505998,0
treatment,low value,172.98388248336013,278.2455652132549,48.24390996665973,57.36999578973897,no,105.26168272989477,9.126085823079244,0
control,unknown,218.9919548925124,273.6186658654013,49.33814321777143,66.11109156156186,unknown,54.62671097288887,16.772948343790432,0
unknown,high value,183.0385172873233,289.1907770405759,100.0,100.0,unknown,106.1522597532526,0.0,0
control,low value,203.71699822858852,166.70503309247516,46.870950935788,73.87259310735006,yes,-37.01196513611336,27.001642171562054,1
treatment,high value,217.3711453820713,280.45795220654577,100.0,100.0,unknown,63.08680682447448,0.0,0
control,medium value,209.9688218117914,242.22829534334144,58.10238068297888,68.52570135356255,no,32.25947353155004,10.42332067058367,0
unknown,low value,175.95117208385503,206.90702418372487,70.25207641696215,56.46589147147654,no,30.955852099869844,-13.786184945485616,0
treatment,medium value,203.71699822858852,444.55340445508034,72.10321900697578,77.63181866119676,no,240.83640622649182,5.528599654220983,0
treatment,high value,203.71699822858852,372.0768245340009,100.0,96.71219703083916,no,168.35982630541235,-3.287802969160836,0
control,medium value,218.7268667266686,280.45795220654577,70.46054728951098,73.87259310735006,yes,61.73108547987718,3.412045817839072,1
treatment,medium value,203.71699822858852,280.45795220654577,56.92302960742848,65.33218806326003,no,76.74095397795725,8.409158455831552,0
treatment,low value,197.9631427522604,310.0148369062279,53.72760812118344,32.906887849419455,unknown,112.0516941539675,-20.82072027176398,0
treatment,unknown,172.5640439478116,266.4449986605619,82.75386052807231,69.82160623010195,no,93.88095471275031,-12.93225429797036,0
control,medium value,203.71699822858852,221.9213487715787,76.13094527537498,59.35356294,unknown,18.20435054299017,-16.77738233537498,0
control,unknown,203.71699822858852,162.2374616137737,93.28146717636848,79.42952329393277,no,-41.47953661481483,-13.851943882435705,0
control,low value,274.59246351835867,328.7935324073339,54.31608719453499,59.03539477551195,unknown,54.201068888975215,4.719307580976967,0
control,high value,203.71699822858852,327.04864420605435,100.0,73.87259310735006,no,123.33164597746583,-26.127406892649944,0
unknown,high value,203.71699822858852,112.73068346320612,94.90874243152032,100.0,unknown,-90.9863147653824,5.091257568479676,0
control,medium value,265.3131660447529,319.6654365187619,63.87197953000241,54.56099478076138,unknown,54.352270474009,-9.31098474924103,0
control,unknown,203.71699822858852,280.45795220654577,54.10763210715948,45.28556486911267,yes,76.74095397795725,-8.822067238046813,1
control,medium value,232.6783461416444,279.1512328137533,81.77233858693052,85.86059695401217,no,46.47288667210893,4.08825836708165,0
control,high value,203.71699822858852,108.8784866188469,83.77613528017189,98.54042646623198,yes,-94.83851160974162,14.764291186060092,1
treatment,low value,164.12190114047567,265.49700321648817,56.567960220919055,65.16897289746989,yes,101.3751020760125,8.60101267655083,1
control,high value,303.8260911376491,359.5862352685562,80.41938129442038,67.77779878665486,yes,55.76014413090712,-12.64158250776552,1
treatment,unknown,290.9461588323051,466.9408444157351,70.25207641696215,100.0,yes,175.99468558343,29.747923583037846,1
treatment,low value,197.0511423746537,311.3391022727937,53.59453078947473,57.98897876411831,no,114.28795989814,4.394447974643576,0
treatment,low value,219.0361935436745,339.24682360420195,60.49654682794909,55.03503731587107,no,120.21063006052745,-5.461509512078017,0
control,medium value,135.93935889848956,154.69882441531493,84.65882285223245,78.32402355137249,no,18.759465516825372,-6.334799300859956,0
control,medium value,223.50117387758007,269.7194872320294,75.22736541608408,76.35429608229961,no,46.21831335444932,1.1269306662155287,0
control,high value,262.60951235632785,314.2027767605217,84.82005516575785,73.87259310735006,yes,51.59326440419386,-10.947462058407794,1
control,low value,300.4804411575955,366.7769826796017,52.20041070819818,61.99341515521835,no,66.29654152200618,9.793004447020174,0
treatment,low value,155.80569977614783,234.94630136428725,35.84196331674312,47.14056987869046,yes,79.14060158813942,11.298606561947338,1
unknown,medium value,204.8807189162857,251.77870176986136,70.25207641696215,69.99317461572976,yes,46.897982853575655,-0.2589018012323976,1
control,high value,203.71699822858852,284.50828904125586,99.60617857940058,100.0,yes,80.79129081266734,0.3938214205994228,1
control,high value,257.83865904908504,303.9227621822666,74.67419965899143,84.21624213,yes,46.08410313318154,9.542042471008571,1
control,medium value,203.71699822858852,301.62094831200403,68.26781975768355,54.33604907364477,yes,97.90395008341551,-13.931770684038781,1
control,low value,231.65818430017143,285.22095469855327,53.32403096960018,60.64185333845226,no,53.56277039838184,7.317822368852077,0
treatment,medium value,248.75274346575927,398.1542709470463,76.86537292832143,98.40703167,yes,149.40152748128705,21.54165874167856,1
control,medium value,138.16453381357115,171.66991197793732,70.86807549183521,80.31139411351035,unknown,33.505378164366164,9.443318621675132,0
treatment,medium value,74.64838734508524,129.40380694654738,70.25207641696215,65.78886498309622,no,54.75541960146214,-4.463211433865936,0
unknown,unknown,171.31687938116335,280.45795220654577,70.25207641696215,75.44572182989938,yes,109.14107282538242,5.193645412937229,1
treatment,low value,184.0360425538357,286.0754196895661,40.66853879470472,73.87259310735006,unknown,102.0393771357304,33.20405431264533,0
unknown,medium value,167.48821126570934,210.0141638881717,64.68715058726112,62.07767315947747,no,42.52595262246237,-2.609477427783645,0
control,unknown,165.56188663386624,185.0992726681943,70.25207641696215,51.80904216045153,yes,19.53738603432805,-18.44303425651062,1
treatment,medium value,203.71699822858852,296.45534188003063,74.05861342292337,73.87259310735006,yes,92.73834365144211,-0.186020315573316,1
treatment,high value,250.6309906,280.45795220654577,94.76939848189424,100.0,unknown,29.82696160654578,5.2306015181057575,0
unknown,unknown,140.57248760098017,218.8725791526862,70.24902619495936,60.34494459004628,no,78.30009155170603,-9.904081604913074,0
control,high value,221.38811858970223,267.79886832076613,72.42039174295866,73.87259310735006,yes,46.4107497310639,1.4522013643913994,1
unknown,unknown,203.7011711892288,321.6469991235115,60.19777122872287,80.25654133479473,yes,117.94582793428268,20.05877010607186,1
control,medium value,240.31483191939444,288.2318834354134,79.68672645136365,90.3995298579234,yes,47.91705151601897,10.712803406559743,1
control,medium value,260.02720928154093,312.4596684,70.14801096460381,59.445862177030406,no,52.432459118459064,-10.702148787573407,0
unknown,low value,255.26227072825083,404.4251586813557,50.04966963,46.61697684369742,no,149.16288795310487,-3.4326927863025745,0
treatment,high value,177.60860698919797,280.45795220654577,70.25207641696215,79.71659473038649,yes,102.8493452173478,9.464518313424335,1
control,low value,89.23390237267094,104.60001897125522,53.86694563923689,73.87259310735006,no,15.366116598584284,20.005647468113168,0
control,low value,171.6731463151931,200.3716651507609,57.672489677052766,66.79891708674249,yes,28.698518835567796,9.126427409689725,1
unknown,medium value,125.51471293887032,194.85584537850005,69.38829649455167,63.52511711281738,yes,69.34113243962973,-5.863179381734291,1
treatment,high value,203.71699822858852,570.6314938741401,94.35264990785598,73.87259310735006,yes,366.9144956455516,-20.48005680050592,1
treatment,medium value,203.71699822858852,280.45795220654577,54.42813252891986,67.35536935993028,no,76.74095397795725,12.927236831010418,0
control,low value,203.71699822858852,253.8840797225241,70.25207641696215,57.05571590646722,no,50.16708149393557,-13.196360510494934,0
control,unknown,203.71699822858852,302.0251054838937,70.2917281,73.87259310735006,no,98.30810725530517,3.580865007350056,0
control,unknown,240.9584676039904,296.7531444262975,76.61458651757438,74.82630927,no,55.79467682230711,-1.7882772475743849,0
control,medium value,320.7389164522767,382.5826107334704,74.02291527758838,70.00729049262463,unknown,61.84369428119368,-4.015624784963748,0
control,high value,216.0051496298113,253.73104393300005,89.06893311473351,100.0,yes,37.72589430318874,10.931066885266489,1
control,high value,173.12181611634844,209.52114983279492,75.29173876661254,73.87259310735006,no,36.39933371644648,-1.4191456592624832,0
treatment,medium value,153.75065706606762,280.45795220654577,69.76797745284802,85.39459315839207,yes,126.70729514047815,15.626615705544054,1
control,unknown,219.001842869018,260.2715771372873,50.08905970352529,53.14968615207197,no,41.2697342682693,3.060626448546685,0
control,medium value,192.8487066505096,233.01676748254155,70.25207641696215,60.5606052542902,yes,40.168060832031955,-9.691471162671952,1
control,low value,146.4305639747237,184.9362751614012,50.83908375068065,50.621448035239546,yes,38.5057111866775,-0.21763571544110505,1
unknown,low value,205.11906813119657,310.0329660552224,70.25207641696215,73.92144865,yes,104.91389792402583,3.6693722330378478,1
control,unknown,238.60682013761013,278.3087364749733,59.81050324612799,73.87259310735006,no,39.701916337363144,14.062089861222063,0
control,low value,203.71699822858852,280.45795220654577,56.596539746778575,59.168742398849474,yes,76.74095397795725,2.5722026520708994,1
unknown,low value,216.88297314698724,335.18605136031124,54.96409899941634,56.15136590213687,no,118.303078213324,1.1872669027205234,0
control,medium value,203.71699822858852,250.9919739605699,67.66496643366789,60.16230405471416,no,47.274975731981385,-7.502662378953723,0
control,medium value,178.16418720981008,222.4258833634069,49.69996379773327,73.87259310735006,no,44.26169615359683,24.172629309616788,0
control,medium value,245.23578757271983,299.8658690738409,70.35990844039934,56.50653868022231,unknown,54.630081501121055,-13.853369760177024,0
control,low value,137.61990152792285,162.055497276417,57.83707786729244,74.15855214,no,24.435595748494137,16.321474272707555,0
control,unknown,162.86036919355232,204.4292430321418,100.0,100.0,no,41.5688738385895,0.0,0
treatment,low value,237.03430748203328,280.45795220654577,61.004389218574886,73.92144865,yes,43.423644724512485,12.917059431425116,1
treatment,high value,203.71699822858852,315.60732551961905,73.88877326,55.50635558225035,yes,111.89032729103053,-18.382417677749643,1
treatment,medium value,287.7420648120068,451.2605225689732,63.78280617292977,68.73121434,yes,163.51845775696643,4.948408167070227,1
control,high value,271.51358496837514,328.0195084439517,83.63152119,96.80895909,yes,56.50592347557654,13.177437900000001,1
unknown,medium value,176.84637524990384,216.8319042,69.26013467149953,79.35013472786777,yes,39.98552895009615,10.09000005636824,1
unknown,medium value,229.84059089677007,280.00239712179734,70.31135738129062,65.11550464808941,no,50.16180622502728,-5.195852733201207,0
treatment,high value,366.27561088100543,576.6800260068277,100.0,100.0,no,210.40441512582225,0.0,0
control,unknown,246.89149498317465,292.29360201434054,73.20787232479987,96.40486270210164,no,45.40210703116588,23.196990377301773,0
control,unknown,261.94921766190805,307.6373966207318,100.0,73.87259310735006,no,45.688178958823755,-26.127406892649944,0
treatment,medium value,167.22618757103376,265.81665398685175,62.45751056,78.04242353662855,yes,98.59046641581799,15.584912976628544,1
control,unknown,203.71699822858852,315.86802848178354,51.25591172043852,73.87259310735006,unknown,112.15103025319502,22.616681386911537,0
treatment,unknown,245.0883871932338,387.7427177705532,50.30321325094679,53.45936599936718,yes,142.6543305773194,3.1561527484203893,1
treatment,medium value,177.15771773121077,271.6685596679185,68.34606852468814,76.34946955326508,yes,94.51084193670772,8.003401028576945,1
treatment,medium value,300.48123664536564,473.6535303889916,55.28594614301039,54.3145243337388,yes,173.17229374362597,-0.9714218092715896,1
control,high value,254.46948775887503,280.45795220654577,100.0,100.0,no,25.988464447670736,0.0,0
control,low value,148.28088665371638,175.21329597828398,54.50363374,65.45166868704845,yes,26.9324093245676,10.948034947048455,1
unknown,high value,197.6478295209729,244.22955749960744,74.33006209366759,90.85603387759916,yes,46.58172797863455,16.525971783931567,1
control,unknown,252.6052698248928,309.08046292122447,59.72087432694995,76.95487853697678,no,56.47519309633168,17.234004210026832,0
control,unknown,203.71699822858852,199.2119623869536,70.25207641696215,70.45285036943633,unknown,-4.505035841634935,0.2007739524741794,0
control,unknown,162.0094020578389,191.1913719,98.68717174794428,100.0,yes,29.181969842161095,1.3128282520557235,1
control,medium value,185.86076916725585,221.71847093193367,78.69238582945903,100.0,no,35.85770176467781,21.307614170540973,0
unknown,low value,167.1480593981227,260.8645638116155,54.56779618906734,52.55969552655669,no,93.71650441349277,-2.0081006625106497,0
unknown,high value,186.13907069374048,219.8573795951108,96.39984576710457,100.0,yes,33.718308901370335,3.6001542328954343,1
treatment,low value,161.07007586250873,252.62559595245813,56.05010067942868,50.58398810021666,no,91.5555200899494,-5.466112579212023,0
control,low value,225.31809996029187,266.8515008219877,53.60198977,58.57578831821999,no,41.53340086169584,4.973798548219989,0
control,unknown,203.71699822858852,254.583362602574,52.029200695371344,62.212476563107366,no,50.866364373985476,10.183275867736022,0
control,high value,203.71699822858852,280.45795220654577,88.76195473220535,100.0,yes,76.74095397795725,11.238045267794647,1
treatment,unknown,186.1792218255412,284.3045455301978,68.90518555817476,63.91127015716558,unknown,98.12532370465661,-4.993915401009183,0
treatment,low value,170.60401364537503,270.71529068009835,53.74541299884373,73.87259310735006,no,100.11127703472332,20.127180108506323,0
treatment,low value,178.30874580005417,280.45795220654577,56.93952694621703,68.95513403250536,no,102.1492064064916,12.015607086288327,0
unknown,low value,185.5104520655636,284.1156568840329,70.25207641696215,46.31907522059224,no,98.60520481846928,-23.933001196369915,0
control,medium value,203.71699822858852,296.0139104347766,60.07745917798249,59.198434949066765,unknown,92.2969122061881,-0.8790242289157248,0
treatment,unknown,208.7322301400081,328.1842153867039,71.23060768991893,87.79107616,no,119.45198524669578,16.560468470081076,0
control,high value,233.2289390032169,282.30773302154614,92.44283126,78.09002843480309,no,49.07879401832923,-14.352802825196918,0
control,medium value,279.0067097233544,334.784933810176,67.95951741705082,63.39739173948481,yes,55.77822408682164,-4.562125677566009,1
treatment,high value,203.71699822858852,510.9779508000127,70.25207641696215,100.0,no,307.2609525714242,29.747923583037846,0
treatment,high value,158.23455952496585,248.20619896942804,80.99486950746781,63.28331418944403,unknown,89.9716394444622,-17.711555318023784,0
treatment,unknown,203.71699822858852,217.09710434343216,96.34016376017492,79.88402332041021,unknown,13.380106114843642,-16.45614043976471,0
treatment,high value,202.0065922528436,327.64566796535826,100.0,100.0,yes,125.63907571251465,0.0,1
treatment,high value,279.6280078660773,433.5118329939782,93.14271807578432,100.0,no,153.88382512790088,6.857281924215684,0
treatment,low value,203.714756846914,315.0339247258297,70.25207641696215,73.87259310735006,unknown,111.31916787891569,3.620516690387902,0
